SP,reserva_afectivo,reserva_racional,utilidad_afectivo,utilidad_racional
5,204.335,87.926,2.26118,0.000404662
6,204.335,87.926,2.26118,0.000404662
6,58.0449,30.6132,2.26118,0.000404662
6,58.0449,30.6132,2.26118,0.000404662
6,58.0449,30.6132,0.563034,0.000252509
7,58.0449,30.6132,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.563034,0.000252509
7,135.746,131.83,0.643547,3.76238
8,135.746,131.83,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.643547,3.76238
8,134.061,151.301,0.00193064,4.01822
9,134.061,151.301,0.00193064,4.01822
9,182.122,216.485,0.00193064,4.01822
9,182.122,216.485,0.00193064,4.01822
9,182.122,216.485,0.00193064,4.01822
9,182.122,216.485,0.00193064,4.01822
9,182.122,216.485,1.93064,4.39996
10,182.122,216.485,1.93064,4.39996
10,215.499,137.526,1.93064,4.39996
10,215.499,137.526,1.93064,4.39996
10,215.499,137.526,1.93064,4.39996
10,215.499,137.526,1.93064,4.39996
10,215.499,137.526,1.93064,4.39996
10,215.499,137.526,1.93064,4.39996
10,215.499,137.526,2.25113,1.16599
10,215.499,137.526,2.25113,1.16599
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,1.0,1.0
1,53.3348,141.692,0.117,1.093
2,53.3348,141.692,0.117,1.093
2,79.2425,68.7513,0.117,1.093
2,79.2425,68.7513,0.117,1.093
2,79.2425,68.7513,0.117,1.093
2,79.2425,68.7513,0.117,1.093
2,79.2425,68.7513,0.133848,0.445944
3,79.2425,68.7513,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.133848,0.445944
3,14.5368,25.3883,0.0721441,0.451295
4,14.5368,25.3883,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
