SP,N,Tipo,ID_Agente,Reserva,Utilidad,Ansiedad,Frustracion
4,3,Afectivo,1,556.0,0.0,0.534189,0.502
4,3,Afectivo,2,656.0,0.0,0.520493,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.534189,0.502
4,3,Afectivo,2,656.0,0.0,0.520493,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.671978,0.502
4,3,Afectivo,2,656.0,0.0,0.627319,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.671978,0.502
4,3,Afectivo,2,656.0,0.0,0.627319,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.814374,0.502
4,3,Afectivo,2,656.0,0.0,0.740008,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.814374,0.502
4,3,Afectivo,2,656.0,0.0,0.740008,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.918719,0.502
4,3,Afectivo,2,656.0,0.0,0.866754,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,0.918719,0.502
4,3,Afectivo,2,656.0,0.0,0.866754,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,0.981576,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,0.981576,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
4,3,Afectivo,2,656.0,0.0,1.0,0.534
4,3,Racional,3,263.0,0.032,,
4,3,Racional,4,169.0,0.0,,
4,3,Afectivo,1,556.0,0.0,1.0,0.502
