SP,N,Tipo,ID_Agente,Reserva,Utilidad
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,6,Afectivo,1,195.0,0.059
6,6,Racional,2,174.0,0.017
7,6,Afectivo,1,195.0,0.059
7,6,Racional,2,174.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,7,Afectivo,1,150.0,0.046
7,7,Racional,2,267.0,0.052
8,7,Afectivo,1,150.0,0.046
8,7,Racional,2,267.0,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,7,Afectivo,1,56.3,0.046
8,7,Racional,2,48.7,0.052
8,8,Afectivo,1,56.3,0.051
8,8,Racional,2,48.7,0.052
9,8,Afectivo,1,56.3,0.051
9,8,Racional,2,48.7,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,8,Afectivo,1,152.0,0.051
9,8,Racional,2,331.0,0.052
9,9,Afectivo,1,152.0,0.038
9,9,Racional,2,331.0,0.11
10,9,Afectivo,1,152.0,0.038
10,9,Racional,2,331.0,0.11
10,9,Afectivo,1,190.0,0.038
10,9,Racional,2,355.0,0.11
10,9,Afectivo,1,190.0,0.038
10,9,Racional,2,355.0,0.11
10,10,Afectivo,1,190.0,0.03
10,10,Racional,2,355.0,0.16
10,10,Afectivo,1,190.0,0.03
10,10,Racional,2,355.0,0.16
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
1,0,Afectivo,1,81.3,0.0
1,0,Racional,2,79.6,0.0
